i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
1,2048,2.240514384720882,7.539845614519436,3,,0,0,0,0,0,0,0,-5.582823617793621
1,2048,2.3386229202515096,7.10089265339775,10,,0,0,0,0,0,0,0,-5.769451747959462
1,2048,2.3054826731822686,7.089821301633492,9,,0,0,0,0,0,0,0,-5.746762151888702
1,2048,2.269074338801147,7.212888284993824,6,,0,0,0,0,0,0,0,-5.6830299018280925
1,2048,2.344438670661475,7.1517782031151,9,,0,0,0,0,0,0,0,-5.771639637609743
2,4096,9.574399240227649,13.596108489582548,0,,0,0,0,0,0,0,0,-5.679539842691098
2,4096,9.416962375689764,13.210404001438292,0,,0,0,0,0,0,0,0,-5.633991630326009
2,4096,9.582884341944009,13.626731246768031,0,,0,0,0,0,0,0,0,-5.622911686025609
2,4096,9.352831814976525,13.207696646713885,0,,0,0,0,0,0,0,0,-5.671764265136056
2,4096,9.247005496217753,12.985656494856812,0,,0,0,0,0,0,0,0,-5.613717967071423
3,6144,-1.9342480818522745,-9.990136346368672,0,,1,0,0,0,0,0,0,-7.374598785739027
3,6144,-1.7374858827679418,-9.834795351343928,0,,2,1,0,0,0,0,0,-7.354952237510552
3,6144,-1.954927045153454,-9.962123835339298,0,,1,1,0,0,0,0,0,-7.381009563739422
3,6144,-1.9520172631018795,-9.966430244003277,0,,1,1,0,0,0,0,0,-7.375501191019622
3,6144,-1.8016829970292747,-9.840750555213162,0,,2,1,0,0,0,0,0,-7.283139147023558
4,8192,7.637285033706576,14.429494129581144,0,,2,2,0,0,0,0,0,-5.843839001211435
4,8192,9.008093470401946,16.030362746823812,0,,4,4,0,0,0,0,0,-5.585515371438986
4,8192,8.970881069399184,16.79918323716265,0,,3,3,0,0,0,0,0,-5.609230613610409
4,8192,8.315785941886134,15.818361972196726,0,,3,3,0,0,0,0,0,-5.722378053810643
4,8192,8.086252006614814,15.588109249802073,0,,2,2,0,0,0,0,0,-5.742070159504953
5,10240,9.994423720127088,7.053835389888263,0,,22,22,0,0,0,0,0,-5.383120270640689
5,10240,7.729769747675164,2.010575144413451,0,,17,16,0,0,0,0,0,-5.617372315634872
5,10240,8.52562822146865,2.5603744865293265,0,,19,18,0,0,0,0,0,-4.623838186543817
5,10240,8.671641850742162,3.858134873007657,0,,16,15,0,0,0,0,0,-5.01685429419437
5,10240,8.334963295055786,4.281317188178946,0,252,20,19,1,1,0,0,0,-4.939963375873046
6,12288,6.05315518041607,0.21240482433313446,6,,20,19,0,0,0,0,0,-5.679713424908249
6,12288,6.33294442523038,-0.08678225281073537,6,,23,22,0,0,0,0,0,-4.949711873491563
6,12288,6.682298320083646,-0.6587528591353475,3,,22,21,0,0,0,0,0,-4.745210542831358
6,12288,5.88240289434907,-0.41835995257315517,8,,19,18,0,0,0,0,0,-5.3715497486183725
6,12288,5.539936684363056,-0.029000480253671412,3,,17,17,0,0,0,0,0,-5.328522297212203
7,14336,1.4834304733085446,-8.584710644572624,134,,0,0,0,0,0,0,0,-10.358264632676825
7,14336,1.4737336721736938,-8.558435540908249,130,,0,0,0,0,0,0,0,-10.162915131711031
7,14336,1.5954312635585666,-8.852033808398119,153,,0,0,0,0,0,0,0,-11.062765191059889
7,14336,1.4676164733828045,-8.759744890630827,149,,0,0,0,0,0,0,0,-10.710675294202565
7,14336,1.6905507116462104,-8.663967670872808,159,,0,0,0,0,0,0,0,-11.102421197864217
8,16384,6.598117836256279,-3.447106750536477,11,245,16,16,1,1,0,0,0,-5.46973635836536
8,16384,0.9549350827001035,-10.026869324610743,170,,0,0,0,0,0,0,0,-11.466320785009636
8,16384,1.0842424948350526,-9.925317055603955,165,,0,0,0,0,0,0,0,-11.200070372245008
8,16384,8.09414114264655,-0.6998556542384904,14,229,26,26,1,1,0,0,0,-5.015435958651222
8,16384,7.909878900682088,1.476228554474801,4,,28,28,0,0,0,0,0,-4.832328815023054
9,18432,8.318103414785583,-1.0806714482896496,4,,31,31,0,0,0,0,0,-4.628401827497641
9,18432,7.645822365884669,-0.3783096624829341,5,253,25,24,1,0,0,1,1,-4.797601299611706
9,18432,10.822931275470182,0.8578414228395559,0,,28,27,0,0,0,0,0,-4.419848373659004
9,18432,9.167198243085295,-3.2660022079653572,5,,23,22,0,0,0,0,0,-4.944910746694289
9,18432,8.210131988744251,-3.1833202243433334,0,,30,30,0,0,0,0,0,-4.650106317516527
10,20480,11.33039959531743,0.17079975514207035,6,,22,21,0,0,0,0,0,-4.9232335532083775
10,20480,14.13083573570475,3.404016191325354,3,190.85,27,27,2,2,0,1,0,-4.4556248675516175
10,20480,9.534342642291449,-9.99427588767503,151,,2,1,0,0,0,0,0,-11.23202124476104
10,20480,10.95671193615999,-1.1205900311324513,3,,21,20,0,0,0,0,0,-4.908730242902147
10,20480,17.68190548173152,5.392795493298763,3,,26,25,0,0,0,0,0,-4.1240428877273585
11,22528,19.150164326129016,7.060985959833488,12,187.61212499999996,21,20,4,4,0,0,1,-4.821165395542415
11,22528,11.306443996727467,3.3211571018910035,5,253,21,20,1,1,0,0,0,-5.050927020420665
11,22528,19.06074691505637,7.068749074824154,13,207,22,21,1,1,0,0,0,-4.936999866857599
11,22528,8.829327576677315,-7.703059760387987,169,,0,0,0,0,0,0,0,-11.356527323256582
11,22528,18.0098445242038,6.94998371618567,8,243.21287499999997,24,23,4,3,0,1,0,-4.41947606733551
12,24576,8.671873128332663,-8.58695913448173,169,,0,0,0,0,0,0,0,-11.530047100370878
12,24576,12.609566139872186,1.891823768892209,8,240,24,23,1,1,0,1,0,-4.69630694466084
12,24576,14.27768649882637,1.6943954848102294,9,,17,17,0,0,0,0,0,-5.453084581779301
12,24576,8.694323879899457,-8.505284901184496,165,,0,0,0,0,0,0,0,-11.293896435515187
12,24576,8.32074941281462,-8.358587342809187,164,,0,0,0,0,0,0,0,-11.077787233876156
13,26624,47.14029554293311,57.62758434147519,19,163.061375,4,3,4,3,238,4,3,-2.764948154255865
