i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
1,2048,-5.232686589897639,24.183287104824558,0,,1,0,0,0,0,0,0,-4.288961895253429
1,2048,-5.247199798759539,24.198734827223234,0,,1,0,0,0,0,0,0,-4.304142829110963
1,2048,-5.2920605452527525,24.253867426887155,0,,1,0,0,0,0,0,0,-4.28691859781402
1,2048,-5.300221624565893,24.26145604113117,0,,1,0,0,0,0,0,0,-4.267326577295114
1,2048,-5.207254967990593,24.151393651845865,0,,1,0,0,0,0,0,0,-4.2750968901227395
2,4096,13.318769728357438,13.00947920026374,37,,1,0,0,0,0,0,0,-7.177012317909851
2,4096,13.433977102977224,12.735734807574772,37,,1,0,0,0,0,0,0,-7.164831404374186
2,4096,13.420929211133625,12.795424919750076,38,,1,0,0,0,0,0,0,-7.171785982642442
2,4096,13.410179250786314,12.418049126063124,41,,1,0,0,0,0,0,0,-7.2617265056255285
2,4096,13.367397205001907,12.500030928276828,42,,1,0,0,0,0,0,0,-7.2614948239323605
3,6144,34.571727144066244,10.968988706008531,0,220,1,0,1,0,0,0,0,-4.74940489054395
3,6144,34.60111044405494,10.830398116377182,0,217,1,0,1,0,0,0,0,-4.783730675676556
3,6144,34.28836457896978,11.024930217536166,0,218,1,0,1,0,0,0,0,-4.778467838372678
3,6144,34.58218681043945,10.825909610139206,0,216,1,0,1,0,0,0,0,-4.748964130083916
3,6144,34.656515083042905,10.953890686505474,0,218,1,0,1,0,0,0,0,-4.750255332424166
4,8192,52.25387497123369,24.20085681429536,0,114,1,0,1,0,194,3,2,-2.245594777651398
4,8192,55.35676188301295,29.824094344076002,0,121.54999999999998,1,0,2,1,0,14,14,-2.9049518889798835
4,8192,58.768445094756316,28.82313639856875,0,113,1,0,1,1,0,3,2,-2.6225808068593333
4,8192,52.72024452860933,37.22539438531385,0,112,1,0,1,1,0,3,2,-2.6458825735734837
4,8192,51.750474861089856,22.907328233122826,0,113,1,0,1,0,188,3,2,-2.325972000313919
5,10240,44.76251284650061,37.461690168856876,1,106.8,1,0,2,1,0,3,3,-3.4384030513105417
5,10240,41.8335836523315,36.42785380946464,0,98,1,0,1,0,209,3,2,-1.8789172091708826
5,10240,43.68226132937707,38.33905548453913,0,105.4,1,0,2,2,0,3,3,-2.4603778801212344
5,10240,41.18444160912848,35.270720673961385,0,101,1,0,1,0,197,3,2,-1.8786480260287075
5,10240,44.021940673701465,39.9205462577811,0,101.1,1,0,2,2,0,3,3,-3.0565352794375182
6,12288,40.21431052387925,39.4638530240627,0,122.1,1,0,2,1,0,5,4,-2.532941970257301
6,12288,38.58450733582085,34.105633680691135,0,126,1,0,1,0,212,4,3,-2.3112782838398327
6,12288,41.67339835257735,38.874273144756444,0,126,1,0,1,1,0,5,5,-2.5401775714567347
6,12288,40.097549489609484,29.70476479548488,0,129,1,0,1,0,197,3,2,-2.402399535953052
6,12288,38.853588348753014,34.453451170852766,0,125,1,0,1,0,213,4,3,-2.274510980313023
7,14336,38.91930743058523,34.69096821712123,0,132,1,0,1,0,225,4,3,-2.4372280625065845
7,14336,37.70290945652916,39.1028027171674,0,128.2,2,1,2,1,253,6,5,-2.2796777733502873
7,14336,36.840601596068666,39.19133791572837,0,126.19999999999999,2,1,2,1,249,6,5,-2.2645936754202207
7,14336,37.13397676305425,38.87497567827062,0,127.29499999999999,2,1,3,2,248,6,5,-2.307597297917377
7,14336,37.25678605144416,36.402853868611444,0,129.64,1,0,3,2,231,4,4,-2.3862407814679454
8,16384,46.236822123838856,36.854446679353714,0,121.1,1,0,2,1,224,3,2,-2.206033921692771
8,16384,47.349351939579876,33.971059544307884,0,123.48999999999998,1,0,3,2,214,2,1,-2.274599517194092
8,16384,45.267654220352256,36.659645459577106,0,121.1,1,0,2,1,223,3,2,-2.2094763837937896
8,16384,44.998537627685124,36.8830712722842,0,122,1,0,1,0,221,3,2,-2.123800577643455
8,16384,42.5119169743105,38.491897571677434,0,119.1,1,0,2,1,217,3,2,-2.1846180956168295
9,18432,66.914349856476,43.92197132865722,0,75,1,0,1,1,222,2,1,-1.154000763310088
