Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
4096,35.55505741387606,-5.960046768814209,0,83.88791968749999,1,0,6,6,0,0,0,0.942749009658358
4096,35.47843742999248,-6.79373920074795,0,54.19431043749999,1,0,7,7,0,0,1,0.9609521768696159
4096,35.39165862603113,-5.761785584672907,0,71.97923125,1,0,5,5,0,1,0,0.9404517973327674
6144,34.34305394766852,48.64452364563476,0,,1,0,0,0,0,0,0,0.978988130039925
6144,33.720431046094745,39.948802717844956,0,,1,0,0,0,0,0,0,0.976020105434072
6144,31.10293535864912,34.621800634340616,0,,1,0,0,0,0,0,0,0.9743101418166675
8192,21.782146600889973,17.55346995778382,0,,1,0,0,0,128,0,0,0.8143604371669277
8192,28.241498256102204,20.717944100033492,0,,1,0,0,0,0,0,0,0.9186752988923573
8192,44.709253590554,52.733705163700506,0,,1,0,0,0,0,0,0,0.9225641564541546
10240,7.44616003066767,4.738556023221463,0,,1,0,0,0,39,0,0,0.5383931550476874
10240,6.4632654102751985,3.276042334618978,0,,1,0,0,0,35,0,0,0.5220479850195627
10240,8.105383347719908,5.784125032369047,0,,1,0,0,0,43,0,0,0.5539935859746995
12288,10.375210383790545,1.4183326624333858,0,,1,0,0,0,77,0,0,0.6084082736161281
12288,10.061162043712102,0.6633821642026305,0,,1,0,0,0,74,0,0,0.6013371269985112
12288,10.482369438977912,0.28737650136463344,0,,1,0,0,0,73,0,0,0.599471117040602
14336,33.87651786906645,-27.533893211511895,0,,0,0,0,0,0,0,0,0.5040260390505997
14336,34.15616631391458,-27.106293285032734,0,,0,0,0,0,0,0,0,0.5034182182101188
14336,33.94610631512478,-27.58298043627292,0,,0,0,0,0,0,0,0,0.49383857931794084
14336,26.032568223308772,23.843360296450555,0,,1,0,0,0,105,0,0,0.7887881480616274
14336,44.57602209295146,37.67157227121061,0,,1,0,0,0,0,0,0,0.9840896753488031
14336,45.85983191791456,40.04134179849643,0,,1,0,0,0,0,0,0,0.9843525068295008
16384,45.51803898066282,77.0480570208747,0,,1,0,0,0,0,0,0,0.9831339943562153
16384,31.256041389133316,41.40394614332763,5,,2,1,0,0,0,0,0,0.6223651504989873
16384,48.55397054343484,57.084683691937244,0,,1,0,0,0,0,0,0,0.979929926533895
18432,20.988640148425475,22.07826755475253,0,,1,0,0,0,69,0,0,0.671283756146322
18432,76.37273752479814,26.885835105349543,0,,1,0,0,0,0,0,0,0.8426654114202194
18432,85.11898721335456,42.46853680087952,1,55,33,33,1,1,0,0,0,0.4945344863651647
20480,23.89327793061966,27.286201703827828,0,,1,0,0,0,81,0,0,0.723693800213091
