Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
4096,17.52635293523781,17.190797778312117,0,,1,0,0,0,135,0,0,0.9265924520302653
4096,17.516474751755595,17.19704508432187,0,,1,0,0,0,135,0,0,0.9267889213293634
4096,17.67308956477791,17.338688907329924,0,,1,0,0,0,136,0,0,0.9305098651934832
6144,26.65596270308015,-3.375146660255268,0,,7,6,0,0,0,0,0,0.6182762328958853
6144,30.065477835887577,-1.3217436899140012,0,,5,4,0,0,254,0,0,1.005137558016587
6144,29.92026661086129,-0.7486657850677148,0,,6,5,0,0,256,0,0,1.0056373070013864
8192,26.904237421695143,2.108065029460704,0,,15,14,0,0,0,0,0,0.797309394343256
8192,46.12823865027167,-37.984801386483014,0,,8,8,0,0,0,0,0,0.5840317955320151
8192,26.783610827988014,1.9956853378971573,0,,16,15,0,0,0,0,0,0.7969469410350177
6144,27.461722964653745,-4.857091588201001,0,,1,0,0,0,0,0,0,0.568461440461896
6144,27.53590590436943,-4.828508559148759,0,,1,0,0,0,0,0,0,0.5689723355573925
6144,27.310067240614444,-4.973230883479118,0,,1,0,0,0,0,0,0,0.5657418566860001
8192,25.75589212428895,15.145117664360441,0,,1,0,0,0,0,0,0,0.8977926755184292
8192,25.751821752783144,15.403764555230737,0,,1,0,0,0,0,0,0,0.8975937259439184
8192,25.77163154928712,15.058667963603511,0,,1,0,0,0,0,0,0,0.8976512360025384
10240,24.66152933484409,23.485154742957093,0,,1,0,0,0,0,0,0,1.0099011508727065
10240,24.216439855808858,23.186598008032888,0,,1,0,0,0,0,0,0,1.0095056661209452
10240,24.3553034379147,22.833651273685973,0,,1,0,0,0,0,0,0,1.0105709939393883
6144,26.05047037359327,4.522167291725054,4,119.6875,1,0,3,3,195,1,0,0.24393051178617361
6144,29.947261296911165,7.266183619503863,48,127.3425,1,0,3,2,217,1,1,-0.46122791485935544
6144,31.186806969344616,8.402267037308775,54,127.27882687499998,1,0,6,5,224,0,1,-0.45856346634551226
8192,14.46170556009747,3.876806318294257,4,65.1,1,0,2,1,91,3,1,0.4249558952156506
8192,42.678419733420014,47.49675013736123,0,68.09166875,1,0,5,5,0,0,1,-0.3500675850112869
8192,16.066408343613148,5.171761089150095,5,69.5,1,0,2,1,100,2,2,0.3328721459822479
10240,25.462219247128814,31.681888242746936,2,54.77774999999999,1,0,4,3,179,7,5,0.8286162217554078
10240,40.90159632032737,49.46433557270211,13,56.099999999999994,1,0,2,1,0,5,5,0.13520647037829917
10240,26.08559263171628,32.523331806442,2,56.34499999999999,1,0,3,2,181,6,4,0.8197112096220762
12288,25.34864050685428,31.2469298572978,59,87,1,0,1,0,213,2,2,-0.6236500808440066
12288,23.293563143670326,29.07499549619388,59,85,1,0,1,0,207,2,2,-0.6657193203950864
12288,23.408264518366195,27.92684152664151,57,86,1,0,1,0,204,2,2,-0.6273842823920646
14336,17.034325252461713,3.5678716682014056,0,85.1,1,0,2,1,108,0,0,0.39422032662886725
14336,23.348359036026523,33.597806180478074,11,85,1,0,1,0,204,5,5,0.24948676598718802
14336,22.930701911536744,32.8111482784152,13,84,1,0,1,0,202,5,5,0.2350713356143124
16384,19.738845215033507,25.490625522797927,47,75.94,1,0,3,2,168,1,1,-0.35562758699562314
16384,17.843860250286525,12.771174988301937,1,71,1,0,1,0,119,1,1,0.38628675042378274
16384,16.89894081064267,6.09122496607597,1,70.1,1,0,2,1,102,1,1,0.40027274791166595
18432,23.084062387351878,24.304345677956007,0,62,1,0,1,0,119,2,2,0.5689831253336572
18432,22.652873351762537,23.821854981360957,0,61,1,0,1,0,120,2,2,0.5738965658093989
18432,24.15522585506551,25.542238328489475,0,62,1,0,1,0,122,2,2,0.5807223314851749
20480,18.728797300718725,12.7963901264593,0,60.15,1,0,2,1,79,0,0,0.5499678941391376
20480,17.75111074966844,12.085749444668181,0,60,1,0,1,0,79,0,0,0.4982530251774174
20480,18.348036739917006,12.648325931513682,0,60,1,0,1,0,81,0,0,0.5054509744401168
20480,17.953665836830623,14.070525940041989,0,52,1,0,1,0,69,0,0,0.4935587314316618
20480,18.12991980696097,14.389033627230674,0,53,1,0,1,0,68,0,0,0.48922287726893005
20480,17.739690697635524,14.16535546304658,0,51,1,0,1,0,69,0,0,0.4982868375202117
22528,18.572629161644727,13.430507731391117,0,65,1,0,1,0,74,0,0,0.44005443941732497
22528,18.217804050073028,13.169637497048825,0,62,1,0,1,0,73,0,0,0.45495862208101456
22528,18.490375229157507,13.598361529875547,0,63,1,0,1,0,73,0,0,0.4522773532548871
24576,16.90273373387754,15.687187958974391,0,42.199999999999996,1,0,2,1,60,0,0,0.4956773447980945
24576,16.620270197745413,14.59475710435072,0,38.2,1,0,2,1,60,0,0,0.5118801184702179
24576,16.54517863644287,15.43134133098647,0,48,1,0,1,0,59,0,0,0.4866872970604058
26624,13.137838349211961,11.726478868513368,0,34.15,1,0,2,1,46,0,0,0.4819173325445869
26624,14.117420196998864,12.240002970793284,0,35.15,1,0,2,1,48,0,0,0.4782243558866429
26624,13.076783623546362,11.877107713371515,0,34.15,1,0,2,1,47,0,0,0.4829584459439428
28672,14.263189467601478,17.12264543166384,0,40,1,0,1,0,60,1,0,0.5190810864100484
